 0.5304357E+00   single scattering albedo
 0.2495167E+01   scattering cross section
 0.4703995E+01   extinction cross section
 Normalized scattering matrix:
 theta(degrees)     F11                  F12                  F13                  F14                  F21                  F22                  F23                  F24                  F31                  F32                  F33                  F34                  F41                  F42                  F43                  F44
  28.000     0.1059315205E+01    -0.4655165374E+00     0.0000000000E+00     0.0000000000E+00    -0.4655165374E+00     0.1059315205E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6924274564E+00     0.9791380912E-01     0.0000000000E+00     0.0000000000E+00    -0.9791380912E-01     0.6924274564E+00
  29.000     0.9558907151E+00    -0.4329109490E+00     0.0000000000E+00     0.0000000000E+00    -0.4329109490E+00     0.9558907151E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6101554632E+00     0.4126458988E-01     0.0000000000E+00     0.0000000000E+00    -0.4126458988E-01     0.6101554632E+00
  30.000     0.8753598332E+00    -0.4073790908E+00     0.0000000000E+00     0.0000000000E+00    -0.4073790908E+00     0.8753598332E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.5498974919E+00    -0.3277880023E-03     0.0000000000E+00     0.0000000000E+00     0.3277880023E-03     0.5498974919E+00
  31.000     0.8095123172E+00    -0.3872942328E+00     0.0000000000E+00     0.0000000000E+00    -0.3872942328E+00     0.8095123172E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.5023349524E+00    -0.2946587279E-01     0.0000000000E+00     0.0000000000E+00     0.2946587279E-01     0.5023349524E+00
  32.000     0.7531251907E+00    -0.3709324002E+00     0.0000000000E+00     0.0000000000E+00    -0.3709324002E+00     0.7531251907E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.4616721570E+00    -0.4943343997E-01     0.0000000000E+00     0.0000000000E+00     0.4943343997E-01     0.4616721570E+00
  33.000     0.7035031319E+00    -0.3568533957E+00     0.0000000000E+00     0.0000000000E+00    -0.3568533957E+00     0.7035031319E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.4252098203E+00    -0.6339377165E-01     0.0000000000E+00     0.0000000000E+00     0.6339377165E-01     0.4252098203E+00
  34.000     0.6596516967E+00    -0.3441269100E+00     0.0000000000E+00     0.0000000000E+00    -0.3441269100E+00     0.6596516967E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3923949301E+00    -0.7377786189E-01     0.0000000000E+00     0.0000000000E+00     0.7377786189E-01     0.3923949301E+00
  35.000     0.6213793159E+00    -0.3323706985E+00     0.0000000000E+00     0.0000000000E+00    -0.3323706985E+00     0.6213793159E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3637042940E+00    -0.8198755980E-01     0.0000000000E+00     0.0000000000E+00     0.8198755980E-01     0.3637042940E+00
  36.000     0.5885720849E+00    -0.3216299117E+00     0.0000000000E+00     0.0000000000E+00    -0.3216299117E+00     0.5885720849E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3396690488E+00    -0.8843094110E-01     0.0000000000E+00     0.0000000000E+00     0.8843094110E-01     0.3396690488E+00
  37.000     0.5607622862E+00    -0.3121623993E+00     0.0000000000E+00     0.0000000000E+00    -0.3121623993E+00     0.5607622862E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3202465177E+00    -0.9281588346E-01     0.0000000000E+00     0.0000000000E+00     0.9281588346E-01     0.3202465177E+00
  38.000     0.5370157361E+00    -0.3042113781E+00     0.0000000000E+00     0.0000000000E+00    -0.3042113781E+00     0.5370157361E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3046086133E+00    -0.9456933290E-01     0.0000000000E+00     0.0000000000E+00     0.9456933290E-01     0.3046086133E+00
  39.000     0.5160689950E+00    -0.2978326082E+00     0.0000000000E+00     0.0000000000E+00    -0.2978326082E+00     0.5160689950E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2912904918E+00    -0.9324171394E-01     0.0000000000E+00     0.0000000000E+00     0.9324171394E-01     0.2912904918E+00
  40.000     0.4965976775E+00    -0.2928220034E+00     0.0000000000E+00     0.0000000000E+00    -0.2928220034E+00     0.4965976775E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2785648108E+00    -0.8878833801E-01     0.0000000000E+00     0.0000000000E+00     0.8878833801E-01     0.2785648108E+00
  41.000     0.4774881601E+00    -0.2887416482E+00     0.0000000000E+00     0.0000000000E+00    -0.2887416482E+00     0.4774881601E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2648710310E+00    -0.8166717738E-01     0.0000000000E+00     0.0000000000E+00     0.8166717738E-01     0.2648710310E+00
  42.000     0.4580301046E+00    -0.2850237191E+00     0.0000000000E+00     0.0000000000E+00    -0.2850237191E+00     0.4580301046E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2491611689E+00    -0.7276166975E-01     0.0000000000E+00     0.0000000000E+00     0.7276166975E-01     0.2491611689E+00
  43.000     0.4379763901E+00    -0.2811082900E+00     0.0000000000E+00     0.0000000000E+00    -0.2811082900E+00     0.4379763901E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2310696393E+00    -0.6317887455E-01     0.0000000000E+00     0.0000000000E+00     0.6317887455E-01     0.2310696393E+00
  44.000     0.4174829423E+00    -0.2765657306E+00     0.0000000000E+00     0.0000000000E+00    -0.2765657306E+00     0.4174829423E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2108873725E+00    -0.5400067195E-01     0.0000000000E+00     0.0000000000E+00     0.5400067195E-01     0.2108873725E+00
