    logr                Nlogr
    0.2833157400E+00    0.2034812662E+00
    0.2891886344E+00    0.1980517310E+00
    0.2950615288E+00    0.1927670734E+00
    0.3009344232E+00    0.1876234274E+00
    0.3068073175E+00    0.1826170304E+00
    0.3126802119E+00    0.1777442202E+00
    0.3185531063E+00    0.1730014323E+00
    0.3244260007E+00    0.1683851973E+00
    0.3302988951E+00    0.1638921382E+00
    0.3361717895E+00    0.1595189684E+00
    0.3420446839E+00    0.1552624889E+00
    0.3479175782E+00    0.1511195859E+00
    0.3537904726E+00    0.1470872290E+00
    0.3596633670E+00    0.1431624683E+00
    0.3655362614E+00    0.1393424328E+00
    0.3714091558E+00    0.1356243282E+00
    0.3772820502E+00    0.1320054345E+00
    0.3831549446E+00    0.1284831047E+00
    0.3890278389E+00    0.1250547619E+00
    0.3949007333E+00    0.1217178983E+00
    0.4007736277E+00    0.1184700730E+00
    0.4066465221E+00    0.1153089101E+00
    0.4125194165E+00    0.1122320972E+00
    0.4183923109E+00    0.1092373836E+00
    0.4242652053E+00    0.1063225786E+00
    0.4301380996E+00    0.1034855500E+00
    0.4360109940E+00    0.1007242224E+00
    0.4418838884E+00    0.9803657596E-01
    0.4477567828E+00    0.9542064456E-01
    0.4536296772E+00    0.9287451462E-01
    0.4595025716E+00    0.9039632363E-01
    0.4653754659E+00    0.8798425875E-01
    0.4712483603E+00    0.8563655553E-01
    0.4771212547E+00    0.8335149658E-01
